:START_ID(InvoiceItem),:END_ID(Product),billedQty
90504298:10,B8907367041603,1
90678703:10,B8907367032571,1
90678698:10,B8907367022152,1
90504301:10,B8907367039570,1
90678702:10,S8907367008620,1
90678703:30,S8907367008620,1
90628266:10,S8907367002512,1
90628265:10,S8907367013532,1
90678700:10,S8907367013532,1
90678699:10,S8907367025344,1
90678696:10,S8907367013587,1
90678698:20,S8907367011866,2
90678703:20,S8907367025412,2
90504279:20,S8907367013082,2
90504279:10,B8907367032649,1
91150083:10,B8907367032571,1
91150083:20,S8907367025412,2
91150083:30,S8907367008620,1
91150084:10,S8907367008620,1
91150085:10,S8907367004448,1
91150086:10,S8907367013532,1
91150087:10,S8907367025344,1
91150088:10,B8907367022152,1
91150088:20,S8907367011866,2
91150090:10,S8907367013587,1
91150147:10,B8907367039570,1
91150147:20,S8907367015277,1
91150147:30,S8907367020035,1
91150147:40,S8907367020042,1
91150148:10,S8907367042006,1
91150149:10,B8907367041603,1
91150149:20,S8907367016144,1
91150149:30,S8907367029021,1
91150149:40,S8907367010814,1
91150150:10,S8907367002512,1
91150151:10,S8907367020035,1
91150152:10,S8907367042006,1
91150153:10,S8907367042006,1
91150154:10,S8907367031635,1
91150155:10,S8907367001003,1
91150156:10,S8907367001003,1
91150157:10,S8907367002499,1
91150158:10,S8907367042006,1
91150159:10,S8907367042006,1
91150160:10,S8907367042006,1
91150161:10,S8907367042006,1
91150162:10,S8907367039303,1
91150163:10,S8907367003311,1
91150164:10,B8907367032649,1
91150164:20,S8907367013082,2
91150165:10,S8907367041993,1
91150165:20,S8907367042006,1
91150166:10,S8907367003311,1
91150167:10,S8907367003380,1
91150168:10,S8907367035664,1
91150169:10,S8907367035664,1
91150170:10,S8907367035664,1
91150171:10,S8907367014867,1
91150172:10,S8907367010814,1
90504248:10,S8907367001003,1
90504267:10,S8907367010814,1
90504269:10,S8907367014867,1
90504270:10,S8907367035664,1
90504272:10,S8907367035664,1
90504273:10,S8907367035664,1
90504274:10,S8907367003380,1
90504276:10,S8907367003311,1
90504277:10,S8907367041993,1
90504277:20,S8907367042006,1
90504280:10,S8907367003311,1
90504281:10,S8907367039303,1
90504283:10,S8907367042006,1
90504284:10,S8907367042006,1
90504285:10,S8907367042006,1
90504286:10,S8907367042006,1
90504288:10,S8907367002499,1
90504289:10,S8907367001003,1
90504290:10,S8907367001003,1
90504292:10,S8907367031635,1
90504293:10,S8907367042006,1
90504295:10,S8907367042006,1
90504296:10,S8907367020035,1
90504297:10,S8907367002512,1
90504298:20,S8907367016144,1
90504298:30,S8907367029021,1
90504298:40,S8907367010814,1
90504300:10,S8907367042006,1
90504301:20,S8907367015277,1
90504301:30,S8907367020035,1
90504301:40,S8907367020042,1
90678701:10,S8907367004448,1
90504204:10,S8907367013532,1
90504206:10,S8907367038122,1
90504207:10,S8907367001003,1
90504208:10,S8907367002512,1
90504210:10,S8907367039280,1
90504211:10,S8907367039280,1
90504212:10,S8907367039280,1
90504215:10,S8907367039280,1
90504217:10,S8907367039280,1
90504218:10,S8907367039280,1
90504219:10,S8907367008620,1
90504221:10,S8907367039280,1
90504222:10,S8907367039280,1
90504223:10,S8907367039280,1
90504225:10,S8907367008620,1
90504226:10,S8907367002512,1
90504227:10,S8907367025344,1
90504228:10,S8907367038108,1
90504228:20,S8907367008620,1
90504230:10,S8907367008620,1
90504231:10,S8907367001003,1
90504232:10,S8907367013532,1
90504234:10,S8907367004448,1
90504237:10,S8907367028192,1
90504238:10,S8907367008620,1
90504239:10,S8907367008620,1
90504241:10,S8907367013532,1
90504242:10,S8907367025344,1
90504243:20,S8907367001836,1
90504243:30,S8907367001874,1
90504243:40,3001468,1
90504243:50,S8907367001850,1
90504243:60,S8907367001843,1
90504243:70,3001456,1
90504243:80,S8907367001867,1
90504243:90,S8907367002550,1
90504243:100,S8907367038108,1
90504243:110,S8907367038122,1
90504243:120,S8907367039280,1
90504245:10,S8907367039280,1
90504246:10,S8907367038122,1
90504249:10,S8907367010814,1
90504249:20,S8907367008620,1
90504250:10,S8907367041993,1
90504252:20,S8907367013532,1
90504252:30,S8907367014447,1
90504253:20,S8907367035978,1
90504253:30,S8907367035992,1
90504253:40,S8907367035985,1
90504253:50,S8907367035961,1
90504255:20,S8907367035961,1
90504255:30,S8907367035978,1
90504255:40,S8907367035985,1
90504255:50,S8907367035992,1
90504256:10,S8907367013532,1
90504257:10,S8907367016144,1
90504259:10,S8907367008620,1
90504260:10,S8907367037156,1
90504262:10,S8907367003380,1
90504262:20,S8907367020035,1
90504265:20,S8907367010814,1
90504265:30,S8907367036722,1
90504265:40,S8907367029021,1
90504265:50,S8907367016144,1
90504265:60,S8907367029038,1
90504266:10,S8907367035664,1
90504376:10,S8907367038122,1
90504406:10,S8907367013532,1
90504253:10,B8907367037859,1
90504255:10,B8907367037859,1
90504265:10,B8907367037842,1
90504252:10,B8907367015697,1
90504243:10,B8907367002246,1
90504214:10,B8907367032571,1
90504263:10,S8907367008620,2
90504214:20,S8907367025412,2
90504235:10,S8907367026433,2
91150174:10,B8907367037842,1
91150188:10,B8907367002246,1
91150188:20,S8907367001836,1
91150188:30,S8907367001874,1
91150188:40,3001468,1
91150188:50,S8907367001850,1
91150188:60,S8907367001843,1
91150188:70,3001456,1
91150188:80,S8907367001867,1
91150188:90,S8907367002550,1
91150188:100,S8907367038108,1
91150188:110,S8907367038122,1
91150188:120,S8907367039280,1
91150106:10,S8907367013532,1
91150114:10,S8907367038122,1
91150173:10,S8907367035664,1
91150174:20,S8907367010814,1
91150174:30,S8907367036722,1
91150174:40,S8907367029021,1
91150174:50,S8907367016144,1
91150174:60,S8907367029038,1
91150175:10,S8907367008620,2
91150176:10,S8907367003380,1
91150176:20,S8907367020035,1
91150177:10,S8907367037156,1
91150178:10,S8907367008620,1
91150179:10,S8907367016144,1
91150180:10,S8907367013532,1
91150181:10,B8907367037859,1
91150181:20,S8907367035961,1
91150181:30,S8907367035978,1
91150181:40,S8907367035985,1
91150181:50,S8907367035992,1
91150182:10,B8907367037859,1
91150182:20,S8907367035978,1
91150182:30,S8907367035992,1
91150182:40,S8907367035985,1
91150182:50,S8907367035961,1
91150183:10,B8907367015697,1
91150183:20,S8907367013532,1
91150183:30,S8907367014447,1
91150184:10,S8907367041993,1
91150185:10,S8907367010814,1
91150185:20,S8907367008620,1
91150186:10,S8907367038122,1
91150187:10,S8907367039280,1
91150189:10,S8907367025344,1
91150190:10,S8907367013532,1
91150191:10,S8907367008620,1
91150192:10,S8907367008620,1
91150193:10,S8907367028192,1
91150194:10,S8907367026433,2
91150195:10,S8907367004448,1
91150196:10,S8907367013532,1
91150197:10,S8907367001003,1
91150198:10,S8907367008620,1
91150199:10,S8907367038108,1
91150199:20,S8907367008620,1
91150200:10,S8907367025344,1
91150201:10,S8907367002512,1
91150202:10,S8907367008620,1
91150203:10,S8907367039280,1
91150204:10,S8907367039280,1
91150205:10,S8907367039280,1
91150206:10,S8907367008620,1
91150207:10,S8907367039280,1
91150208:10,S8907367039280,1
91150209:10,S8907367039280,1
91150210:10,B8907367032571,1
91150210:20,S8907367025412,2
91150211:10,S8907367039280,1
91150212:10,S8907367039280,1
91150213:10,S8907367039280,1
91150214:10,S8907367002512,1
91150215:10,S8907367001003,1
91150216:10,S8907367038122,1
91150217:10,S8907367013532,1
