:START_ID(Invoice),:END_ID(InvoiceItem),lineNumber
90504298,90504298:10,10
90678703,90678703:10,10
90678698,90678698:10,10
90504301,90504301:10,10
90678702,90678702:10,10
90678703,90678703:30,30
90628266,90628266:10,10
90628265,90628265:10,10
90678700,90678700:10,10
90678699,90678699:10,10
90678696,90678696:10,10
90678698,90678698:20,20
90678703,90678703:20,20
90504279,90504279:20,20
90504279,90504279:10,10
91150083,91150083:10,10
91150083,91150083:20,20
91150083,91150083:30,30
91150084,91150084:10,10
91150085,91150085:10,10
91150086,91150086:10,10
91150087,91150087:10,10
91150088,91150088:10,10
91150088,91150088:20,20
91150090,91150090:10,10
91150147,91150147:10,10
91150147,91150147:20,20
91150147,91150147:30,30
91150147,91150147:40,40
91150148,91150148:10,10
91150149,91150149:10,10
91150149,91150149:20,20
91150149,91150149:30,30
91150149,91150149:40,40
91150150,91150150:10,10
91150151,91150151:10,10
91150152,91150152:10,10
91150153,91150153:10,10
91150154,91150154:10,10
91150155,91150155:10,10
91150156,91150156:10,10
91150157,91150157:10,10
91150158,91150158:10,10
91150159,91150159:10,10
91150160,91150160:10,10
91150161,91150161:10,10
91150162,91150162:10,10
91150163,91150163:10,10
91150164,91150164:10,10
91150164,91150164:20,20
91150165,91150165:10,10
91150165,91150165:20,20
91150166,91150166:10,10
91150167,91150167:10,10
91150168,91150168:10,10
91150169,91150169:10,10
91150170,91150170:10,10
91150171,91150171:10,10
91150172,91150172:10,10
90504248,90504248:10,10
90504267,90504267:10,10
90504269,90504269:10,10
90504270,90504270:10,10
90504272,90504272:10,10
90504273,90504273:10,10
90504274,90504274:10,10
90504276,90504276:10,10
90504277,90504277:10,10
90504277,90504277:20,20
90504280,90504280:10,10
90504281,90504281:10,10
90504283,90504283:10,10
90504284,90504284:10,10
90504285,90504285:10,10
90504286,90504286:10,10
90504288,90504288:10,10
90504289,90504289:10,10
90504290,90504290:10,10
90504292,90504292:10,10
90504293,90504293:10,10
90504295,90504295:10,10
90504296,90504296:10,10
90504297,90504297:10,10
90504298,90504298:20,20
90504298,90504298:30,30
90504298,90504298:40,40
90504300,90504300:10,10
90504301,90504301:20,20
90504301,90504301:30,30
90504301,90504301:40,40
90678701,90678701:10,10
90504204,90504204:10,10
90504206,90504206:10,10
90504207,90504207:10,10
90504208,90504208:10,10
90504210,90504210:10,10
90504211,90504211:10,10
90504212,90504212:10,10
90504215,90504215:10,10
90504217,90504217:10,10
90504218,90504218:10,10
90504219,90504219:10,10
90504221,90504221:10,10
90504222,90504222:10,10
90504223,90504223:10,10
90504225,90504225:10,10
90504226,90504226:10,10
90504227,90504227:10,10
90504228,90504228:10,10
90504228,90504228:20,20
90504230,90504230:10,10
90504231,90504231:10,10
90504232,90504232:10,10
90504234,90504234:10,10
90504237,90504237:10,10
90504238,90504238:10,10
90504239,90504239:10,10
90504241,90504241:10,10
90504242,90504242:10,10
90504243,90504243:20,20
90504243,90504243:30,30
90504243,90504243:40,40
90504243,90504243:50,50
90504243,90504243:60,60
90504243,90504243:70,70
90504243,90504243:80,80
90504243,90504243:90,90
90504243,90504243:100,100
90504243,90504243:110,110
90504243,90504243:120,120
90504245,90504245:10,10
90504246,90504246:10,10
90504249,90504249:10,10
90504249,90504249:20,20
90504250,90504250:10,10
90504252,90504252:20,20
90504252,90504252:30,30
90504253,90504253:20,20
90504253,90504253:30,30
90504253,90504253:40,40
90504253,90504253:50,50
90504255,90504255:20,20
90504255,90504255:30,30
90504255,90504255:40,40
90504255,90504255:50,50
90504256,90504256:10,10
90504257,90504257:10,10
90504259,90504259:10,10
90504260,90504260:10,10
90504262,90504262:10,10
90504262,90504262:20,20
90504265,90504265:20,20
90504265,90504265:30,30
90504265,90504265:40,40
90504265,90504265:50,50
90504265,90504265:60,60
90504266,90504266:10,10
90504376,90504376:10,10
90504406,90504406:10,10
90504253,90504253:10,10
90504255,90504255:10,10
90504265,90504265:10,10
90504252,90504252:10,10
90504243,90504243:10,10
90504214,90504214:10,10
90504263,90504263:10,10
90504214,90504214:20,20
90504235,90504235:10,10
91150174,91150174:10,10
91150188,91150188:10,10
91150188,91150188:20,20
91150188,91150188:30,30
91150188,91150188:40,40
91150188,91150188:50,50
91150188,91150188:60,60
91150188,91150188:70,70
91150188,91150188:80,80
91150188,91150188:90,90
91150188,91150188:100,100
91150188,91150188:110,110
91150188,91150188:120,120
91150106,91150106:10,10
91150114,91150114:10,10
91150173,91150173:10,10
91150174,91150174:20,20
91150174,91150174:30,30
91150174,91150174:40,40
91150174,91150174:50,50
91150174,91150174:60,60
91150175,91150175:10,10
91150176,91150176:10,10
91150176,91150176:20,20
91150177,91150177:10,10
91150178,91150178:10,10
91150179,91150179:10,10
91150180,91150180:10,10
91150181,91150181:10,10
91150181,91150181:20,20
91150181,91150181:30,30
91150181,91150181:40,40
91150181,91150181:50,50
91150182,91150182:10,10
91150182,91150182:20,20
91150182,91150182:30,30
91150182,91150182:40,40
91150182,91150182:50,50
91150183,91150183:10,10
91150183,91150183:20,20
91150183,91150183:30,30
91150184,91150184:10,10
91150185,91150185:10,10
91150185,91150185:20,20
91150186,91150186:10,10
91150187,91150187:10,10
91150189,91150189:10,10
91150190,91150190:10,10
91150191,91150191:10,10
91150192,91150192:10,10
91150193,91150193:10,10
91150194,91150194:10,10
91150195,91150195:10,10
91150196,91150196:10,10
91150197,91150197:10,10
91150198,91150198:10,10
91150199,91150199:10,10
91150199,91150199:20,20
91150200,91150200:10,10
91150201,91150201:10,10
91150202,91150202:10,10
91150203,91150203:10,10
91150204,91150204:10,10
91150205,91150205:10,10
91150206,91150206:10,10
91150207,91150207:10,10
91150208,91150208:10,10
91150209,91150209:10,10
91150210,91150210:10,10
91150210,91150210:20,20
91150211,91150211:10,10
91150212,91150212:10,10
91150213,91150213:10,10
91150214,91150214:10,10
91150215,91150215:10,10
91150216,91150216:10,10
91150217,91150217:10,10
